device,name,type,enabled,mac_address,mtu,description,mode
Cisco Switch 1,GigabitEthernet2/0/18,1000BASE-T (1GE),true,04da.d29b.5b12,1500,### PHONE Andreas Lissitsin ###,Tagged
Cisco Switch 1,GigabitEthernet2/0/19,1000BASE-T (1GE),false,04da.d29b.5b13,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/20,1000BASE-T (1GE),true,04da.d29b.5b14,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/21,1000BASE-T (1GE),true,04da.d29b.5b15,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/22,1000BASE-T (1GE),true,04da.d29b.5b16,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/23,1000BASE-T (1GE),false,04da.d29b.5b17,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/24,1000BASE-T (1GE),true,04da.d29b.5b18,1500,### PHONE Matthias Hartmann ###,Tagged
Cisco Switch 1,GigabitEthernet2/0/25,1000BASE-T (1GE),true,04da.d29b.5b19,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/26,1000BASE-T (1GE),true,04da.d29b.5b1a,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/27,1000BASE-T (1GE),false,04da.d29b.5b1b,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/28,1000BASE-T (1GE),false,04da.d29b.5b1c,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/29,1000BASE-T (1GE),true,04da.d29b.5b1d,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/30,1000BASE-T (1GE),true,04da.d29b.5b1e,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/31,1000BASE-T (1GE),false,04da.d29b.5b1f,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/32,1000BASE-T (1GE),true,04da.d29b.5b20,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/33,1000BASE-T (1GE),false,04da.d29b.5b21,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/34,1000BASE-T (1GE),true,04da.d29b.5b22,1500,Nick,Tagged
Cisco Switch 1,GigabitEthernet2/0/35,1000BASE-T (1GE),false,04da.d29b.5b23,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/36,1000BASE-T (1GE),false,04da.d29b.5b24,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/37,1000BASE-T (1GE),true,04da.d29b.5b25,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/38,1000BASE-T (1GE),false,04da.d29b.5b26,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/39,1000BASE-T (1GE),true,04da.d29b.5b27,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/40,1000BASE-T (1GE),false,04da.d29b.5b28,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/41,1000BASE-T (1GE),true,04da.d29b.5b29,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/42,1000BASE-T (1GE),false,04da.d29b.5b2a,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/43,1000BASE-T (1GE),false,04da.d29b.5b2b,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/44,1000BASE-T (1GE),false,04da.d29b.5b2c,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/45,1000BASE-T (1GE),false,04da.d29b.5b2d,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/46,1000BASE-T (1GE),false,04da.d29b.5b2e,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/47,1000BASE-T (1GE),true,04da.d29b.5b2f,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/48,1000BASE-T (1GE),true,04da.d29b.5b30,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/49,1000BASE-T (1GE),true,04da.d29b.5b31,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/50,1000BASE-T (1GE),false,04da.d29b.5b32,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/51,1000BASE-T (1GE),false,04da.d29b.5b33,1500,,Tagged
Cisco Switch 1,GigabitEthernet2/0/52,1000BASE-T (1GE),false,04da.d29b.5b34,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/1,1000BASE-T (1GE),true,0c27.2440.3d81,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/2,1000BASE-T (1GE),false,0c27.2440.3d82,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/3,1000BASE-T (1GE),false,0c27.2440.3d83,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/4,1000BASE-T (1GE),false,0c27.2440.3d84,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/5,1000BASE-T (1GE),true,0c27.2440.3d85,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/6,1000BASE-T (1GE),true,0c27.2440.3d86,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/7,1000BASE-T (1GE),true,0c27.2440.3d87,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/8,1000BASE-T (1GE),true,0c27.2440.3d88,1500,Unifi AP3(Vorraum),Tagged
Cisco Switch 1,GigabitEthernet3/0/9,1000BASE-T (1GE),true,0c27.2440.3d89,1500,MAIN-MT-RB4011-Port2 Trunk,Tagged
Cisco Switch 1,GigabitEthernet3/0/10,1000BASE-T (1GE),true,0c27.2440.3d8a,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/11,1000BASE-T (1GE),true,0c27.2440.3d8b,1500,Unifi Camera - Vorraum,Tagged
Cisco Switch 1,GigabitEthernet3/0/12,1000BASE-T (1GE),true,0c27.2440.3d8c,1500,Unifi Camera - Eingang,Tagged
Cisco Switch 1,GigabitEthernet3/0/13,1000BASE-T (1GE),true,0c27.2440.3d8d,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/14,1000BASE-T (1GE),true,0c27.2440.3d8e,1500,Unifi Camera - Parking Entrance,Tagged
Cisco Switch 1,GigabitEthernet3/0/15,1000BASE-T (1GE),true,0c27.2440.3d8f,1500,Unifi Camera - Outdoor Street,Tagged
Cisco Switch 1,GigabitEthernet3/0/16,1000BASE-T (1GE),true,0c27.2440.3d90,1500,Unifi Camera - Parking Left,Tagged
Cisco Switch 1,GigabitEthernet3/0/17,1000BASE-T (1GE),true,0c27.2440.3d91,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/18,1000BASE-T (1GE),true,0c27.2440.3d92,1500,Silex IP-USB,Tagged
Cisco Switch 1,GigabitEthernet3/0/19,1000BASE-T (1GE),true,0c27.2440.3d93,1500,Unifi Camera - Parking Right,Tagged
Cisco Switch 1,GigabitEthernet3/0/20,1000BASE-T (1GE),true,0c27.2440.3d94,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/21,1000BASE-T (1GE),true,0c27.2440.3d95,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/22,1000BASE-T (1GE),true,0c27.2440.3d96,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/23,1000BASE-T (1GE),true,0c27.2440.3d97,1500,Unifi Camera - Lager,Tagged
Cisco Switch 1,GigabitEthernet3/0/24,1000BASE-T (1GE),false,0c27.2440.3d98,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/25,1000BASE-T (1GE),false,0c27.2440.3d99,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/26,1000BASE-T (1GE),true,0c27.2440.3d9a,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/27,1000BASE-T (1GE),false,0c27.2440.3d9b,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/28,1000BASE-T (1GE),false,0c27.2440.3d9c,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/29,1000BASE-T (1GE),true,0c27.2440.3d9d,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/30,1000BASE-T (1GE),true,0c27.2440.3d9e,1500,Unifi AP4(Lager),Tagged
Cisco Switch 1,GigabitEthernet3/0/31,1000BASE-T (1GE),false,0c27.2440.3d9f,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/32,1000BASE-T (1GE),false,0c27.2440.3da0,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/33,1000BASE-T (1GE),false,0c27.2440.3da1,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/34,1000BASE-T (1GE),true,0c27.2440.3da2,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/35,1000BASE-T (1GE),false,0c27.2440.3da3,1500,PROXMOX,Tagged
Cisco Switch 1,GigabitEthernet3/0/36,1000BASE-T (1GE),false,0c27.2440.3da4,1500,PROXMOX,Tagged
Cisco Switch 1,GigabitEthernet3/0/37,1000BASE-T (1GE),true,0c27.2440.3da5,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/38,1000BASE-T (1GE),true,0c27.2440.3da6,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/39,1000BASE-T (1GE),false,0c27.2440.3da7,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/40,1000BASE-T (1GE),true,0c27.2440.3da8,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/41,1000BASE-T (1GE),false,0c27.2440.3da9,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/42,1000BASE-T (1GE),false,0c27.2440.3daa,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/43,1000BASE-T (1GE),false,0c27.2440.3dab,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/44,1000BASE-T (1GE),false,0c27.2440.3dac,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/45,1000BASE-T (1GE),false,0c27.2440.3dad,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/46,1000BASE-T (1GE),true,0c27.2440.3dae,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/47,1000BASE-T (1GE),false,0c27.2440.3daf,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/48,1000BASE-T (1GE),false,0c27.2440.3db0,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/49,1000BASE-T (1GE),false,0c27.2440.3db1,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/50,1000BASE-T (1GE),false,0c27.2440.3db2,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/51,1000BASE-T (1GE),false,0c27.2440.3db3,1500,,Tagged
Cisco Switch 1,GigabitEthernet3/0/52,1000BASE-T (1GE),false,0c27.2440.3db4,1500,,Tagged
Cisco Switch 1,Port-channel1,1000BASE-T (1GE),false,0000.0000.0000,1500,,Tagged
Cisco Switch 1,Port-channel3,1000BASE-T (1GE),false,0c27.2440.3da4,1500,TRUNK TO PROXMOX SERVER,Tagged
Cisco Switch 1,Port-channel4,1000BASE-T (1GE),false,0c27.2440.3da4,1500,PROXMOX-SERVER,Tagged
Cisco Switch 1,Port-channel5,1000BASE-T (1GE),true,04da.d29b.5b31,1500,,Tagged
